ID,Age,GPA,Experience,CGPA,Interview_Score,Technical_Skills,Placement_Status
388,28,2.06,4,9.12,18,Python,Placed
389,32,2.87,1,8.58,92,JavaScript,Placed
390,21,3.2,3,8.61,93,C++,Placed
391,33,3.93,3,7.24,89,C++,Placed
392,21,3.75,2,7.61,88,Python,Placed
393,21,2.56,4,8.14,30,Python,Placed
394,25,3.01,0,7.48,1,Python,Placed
395,22,2.11,2,7.45,30,Java,Placed
396,32,2.48,2,9.38,77,Python,Placed
397,28,3.55,1,9.85,15,Python,Placed
398,23,2.25,2,7.92,30,C++,Not Placed
399,20,2.52,2,9.46,6,C++,Placed
400,23,3.89,2,9.2,59,Java,Not Placed
401,20,3.65,1,7.95,24,JavaScript,Placed
402,33,3.56,3,8.65,21,Java,Placed
403,24,3.73,2,6.26,11,C++,Placed
404,23,3.5,3,8.57,70,Python,Placed
405,27,2.24,3,6.98,4,C++,Placed
406,27,3.03,1,9.75,24,JavaScript,Placed
407,26,2.89,3,8.67,34,Python,Not Placed
408,22,2.62,1,8.48,43,C++,Placed
409,20,3.67,2,9.62,81,JavaScript,Placed
410,20,2.93,0,8.99,82,Python,Placed
411,31,2.12,1,7.67,95,Python,Not Placed
412,30,2.55,0,9.15,99,JavaScript,Not Placed
413,22,2.46,2,9.72,76,C++,Placed
414,25,3.77,0,9.77,61,JavaScript,Not Placed
415,26,3.29,4,7.0,5,JavaScript,Not Placed
416,25,3.12,4,8.19,49,Java,Placed
417,33,3.01,2,9.18,40,Java,Placed
418,33,3.3,3,9.92,69,C++,Not Placed
419,25,3.51,3,6.36,1,C++,Not Placed
420,25,3.11,1,9.09,7,Python,Placed
421,32,3.88,4,7.81,28,Java,Placed
422,22,3.95,1,9.37,94,JavaScript,Placed
423,25,3.99,2,9.0,65,Java,Not Placed
424,27,3.34,0,7.8,72,Java,Placed
425,30,3.87,4,9.71,11,JavaScript,Placed
426,30,2.81,3,7.47,34,JavaScript,Placed
427,21,3.72,1,7.58,12,Python,Placed
428,24,3.82,0,9.03,54,Java,Placed
429,33,3.81,3,7.06,25,Python,Placed
430,20,3.66,3,9.1,27,Java,Placed
431,31,2.81,2,9.19,38,C++,Placed
432,34,2.32,3,8.9,21,Java,Not Placed
433,20,2.67,3,7.5,44,Java,Placed
434,24,3.53,3,7.88,93,C++,Placed
435,31,2.47,0,8.22,26,Java,Placed
436,32,2.96,0,6.51,86,C++,Placed
437,22,3.13,3,7.48,75,Java,Placed
438,23,3.21,2,6.65,98,Python,Not Placed
439,22,3.87,3,7.11,61,JavaScript,Placed
440,20,3.32,4,9.6,61,JavaScript,Placed
441,20,3.57,4,6.23,23,Python,Not Placed
442,31,3.16,1,8.22,42,JavaScript,Placed
443,31,3.67,4,7.74,84,Python,Not Placed
444,33,2.53,1,8.68,86,C++,Placed
445,32,2.42,1,9.85,64,Java,Placed
446,33,3.85,1,7.83,90,JavaScript,Not Placed
447,24,3.39,1,8.02,15,C++,Not Placed
448,25,3.34,3,6.48,83,C++,Placed
449,22,2.93,0,9.65,63,C++,Placed
450,31,2.75,4,7.55,7,Java,Placed
451,28,3.11,4,6.17,97,Java,Placed
452,24,2.24,4,8.12,77,Python,Placed
453,27,2.91,1,9.38,1,Python,Placed
454,32,2.91,2,8.36,67,Python,Placed
455,20,3.08,0,8.39,75,Python,Placed
456,33,3.27,2,6.09,26,C++,Not Placed
457,24,3.91,2,9.88,97,Java,Not Placed
458,34,3.3,4,7.62,4,Python,Not Placed
459,22,3.77,2,6.57,32,Python,Not Placed
460,31,3.11,3,6.56,60,C++,Not Placed
461,20,3.25,2,8.67,90,JavaScript,Placed
462,23,2.14,2,7.73,17,JavaScript,Not Placed
463,34,2.27,4,6.21,99,Python,Placed
464,32,3.16,2,6.34,4,Python,Placed
465,24,2.79,1,7.71,44,Python,Placed
466,26,3.6,0,9.18,24,JavaScript,Placed
467,20,3.09,3,6.57,97,Java,Placed
468,22,3.76,0,6.46,10,Java,Placed
469,21,3.94,1,7.89,13,C++,Not Placed
470,28,2.3,2,8.1,17,C++,Placed
471,29,2.79,4,8.05,84,Java,Placed
472,34,3.33,0,8.01,11,C++,Not Placed
473,25,2.61,2,9.56,25,Python,Placed
474,29,2.53,0,7.57,18,Python,Placed
475,22,3.63,2,6.13,85,C++,Placed
476,27,3.96,4,6.04,64,JavaScript,Not Placed
477,33,3.55,1,7.61,26,JavaScript,Placed
478,27,3.05,0,9.57,65,Java,Not Placed
479,21,2.89,3,8.85,48,JavaScript,Not Placed
480,34,3.08,1,8.28,55,Java,Placed
481,25,2.93,4,8.81,39,JavaScript,Not Placed
482,26,3.01,3,6.67,8,JavaScript,Placed
483,21,2.41,2,7.2,70,C++,Placed
484,34,3.81,0,9.16,91,Java,Not Placed
485,30,3.51,3,6.04,4,JavaScript,Not Placed
486,29,3.36,1,7.22,66,JavaScript,Placed
487,21,3.9,3,9.81,60,JavaScript,Not Placed
488,29,2.57,4,8.44,79,JavaScript,Placed
489,20,2.16,3,8.93,53,C++,Placed
490,27,3.65,0,7.58,96,Java,Placed
491,20,4.0,0,6.41,46,C++,Not Placed
492,28,3.16,2,8.73,77,Python,Placed
493,30,2.12,3,7.7,74,Java,Placed
494,25,3.56,3,6.58,11,JavaScript,Placed
495,26,2.15,4,9.59,45,C++,Placed
496,32,3.08,0,7.01,58,Java,Placed
497,29,2.56,1,7.39,75,C++,Not Placed
498,26,3.83,2,6.84,90,Java,Placed
499,29,2.9,3,7.57,9,Java,Placed
500,22,3.8,2,8.44,77,JavaScript,Placed
501,21,2.6,3,6.83,96,JavaScript,Placed
502,28,2.77,3,7.44,44,Java,Not Placed
503,27,3.89,4,6.05,12,Python,Placed
504,32,2.4,3,6.64,24,C++,Not Placed
505,31,3.16,2,9.63,96,C++,Not Placed
506,29,2.78,2,8.54,38,C++,Not Placed
507,26,3.55,4,8.02,92,C++,Placed
508,28,2.26,4,8.06,9,Java,Not Placed
509,23,2.87,2,8.57,77,Python,Not Placed
510,32,3.4,2,6.84,15,Java,Placed
511,23,2.81,3,6.14,78,JavaScript,Placed
512,20,2.12,0,7.64,8,JavaScript,Not Placed
513,27,3.41,2,9.64,33,Java,Not Placed
514,33,3.01,1,8.04,1,JavaScript,Not Placed
515,33,2.02,0,9.53,9,JavaScript,Placed
516,31,3.23,1,6.5,15,Java,Placed
517,22,3.84,0,7.09,2,Python,Placed
518,26,2.22,2,8.56,62,JavaScript,Placed
519,34,3.18,4,6.09,47,JavaScript,Placed
520,31,3.46,4,6.6,32,JavaScript,Not Placed
521,21,2.14,2,6.44,43,Java,Not Placed
522,21,2.05,0,8.07,78,JavaScript,Placed
523,26,2.93,2,9.53,78,Java,Not Placed
524,34,3.58,0,6.01,93,Python,Placed
525,25,2.32,2,6.22,55,Java,Placed
526,22,3.67,1,8.66,53,Java,Placed
527,28,3.31,2,7.47,78,JavaScript,Placed
528,29,2.66,0,9.57,69,Java,Not Placed
529,34,3.03,3,8.15,1,Python,Placed
530,33,3.93,4,6.24,45,Python,Not Placed
531,32,2.43,3,6.03,22,JavaScript,Placed
532,25,3.0,2,7.76,98,C++,Placed
533,29,3.25,0,7.59,65,Java,Placed
534,29,2.28,4,7.93,60,Java,Placed
535,25,2.09,2,7.72,64,Java,Placed
536,20,2.03,3,8.41,80,Python,Placed
537,23,2.65,4,9.6,52,C++,Placed
538,29,2.15,2,9.02,34,C++,Not Placed
539,25,3.61,4,8.12,85,JavaScript,Not Placed
540,34,3.99,1,8.11,5,Java,Placed
541,25,2.12,4,9.93,40,Java,Placed
542,30,2.87,1,9.77,41,JavaScript,Not Placed
543,31,2.05,4,6.63,86,JavaScript,Placed
544,24,2.27,4,8.55,14,Java,Placed
545,20,2.65,4,7.25,36,Python,Placed
546,27,2.79,1,6.8,23,Python,Not Placed
547,24,3.88,2,9.77,74,Java,Placed
548,31,2.79,3,6.34,59,C++,Placed
549,31,2.99,4,6.11,1,C++,Not Placed
550,31,2.49,3,7.88,37,Python,Not Placed
551,24,2.0,3,8.14,95,JavaScript,Placed
552,26,3.8,4,6.43,37,Python,Not Placed
553,23,2.16,1,9.79,66,C++,Placed
554,25,3.93,0,6.37,95,JavaScript,Placed
555,32,2.26,0,8.89,72,JavaScript,Placed
556,23,3.21,0,7.46,47,JavaScript,Not Placed
557,33,4.0,4,7.05,54,Python,Placed
558,34,2.28,3,6.84,34,JavaScript,Not Placed
559,22,2.85,0,6.7,16,C++,Placed
560,26,3.56,4,8.11,85,Python,Not Placed
561,27,2.06,4,6.18,73,JavaScript,Placed
562,23,3.38,4,9.08,2,Python,Placed
563,32,2.16,1,6.93,8,Python,Placed
564,21,2.47,2,7.74,74,Python,Placed
565,31,2.32,1,6.32,76,C++,Placed
566,29,3.81,3,7.88,51,Java,Placed
567,33,2.36,4,8.51,61,Python,Not Placed
568,22,2.08,1,6.2,42,Java,Placed
569,20,3.18,0,9.47,5,Java,Not Placed
570,27,2.69,2,7.19,67,C++,Placed
